shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2020-12-01,584.760009765625,-12.83001708984375,568.8200073242188,12.3800048828125,1,0,1505,20,6,5,9,3,0,0,2,0,0,0,0,5,1,0,1,2,2,1,1,2,0,0,0,2,1,11,8,3,0,0,8,1,10,2,1,4,8,1,0,4,0,2,0,0
2020-12-02,568.8200073242188,12.3800048828125,593.3800048828125,3.3599853515625,1,1,2671,29,13,19,12,2,13,0,3,3,13,2,6,3,4,1,2,0,9,2,3,5,0,1,1,5,5,7,14,10,0,0,18,6,23,1,1,7,3,1,2,3,0,1,0,0
2020-12-03,593.3800048828125,3.3599853515625,599.0399780273438,8.02996826171875,1,1,1309,46,9,6,5,2,5,0,1,1,3,1,1,3,2,0,1,7,1,3,2,1,0,0,0,0,1,3,9,2,0,0,5,2,19,2,0,5,4,0,1,2,0,1,0,0
2020-12-04,599.0399780273438,8.02996826171875,641.760009765625,36.84002685546875,1,1,1645,34,3,7,6,1,5,1,1,3,3,0,5,2,0,3,1,2,0,1,2,1,0,4,3,1,1,7,6,4,0,0,6,6,8,2,0,1,1,1,1,2,0,1,0,0
2020-12-07,641.760009765625,36.84002685546875,649.8800048828125,24.3699951171875,1,1,2792,67,5,31,9,3,12,0,4,2,9,2,5,9,6,3,3,3,0,1,3,1,0,1,1,4,6,9,15,7,0,0,8,7,22,1,2,3,5,0,1,8,0,0,0,0
2020-12-08,649.8800048828125,24.3699951171875,604.47998046875,-49.21002197265625,0,1,3860,86,12,20,32,8,15,0,7,4,18,2,4,9,8,1,5,3,5,0,4,3,0,3,1,5,6,7,27,12,0,0,18,12,24,3,4,11,8,1,5,16,0,0,0,0
2020-12-09,604.47998046875,-49.21002197265625,627.0700073242188,52.70001220703125,1,0,3488,66,19,17,24,4,20,0,3,7,15,0,13,5,3,2,4,2,7,1,2,5,0,1,0,2,7,5,27,5,0,0,29,12,23,3,4,7,5,0,0,23,0,1,0,0
2020-12-10,627.0700073242188,52.70001220703125,609.989990234375,-5.02001953125,0,1,3347,58,17,24,26,4,17,0,1,6,15,3,7,7,3,2,3,3,2,3,4,6,0,0,1,2,7,3,31,4,0,0,20,4,15,6,1,11,12,0,0,18,0,1,0,0
2020-12-11,609.989990234375,-5.02001953125,639.8300170898438,20.83001708984375,1,0,1802,49,9,7,10,2,10,0,0,0,8,0,1,4,9,1,4,4,0,0,0,3,0,0,0,0,1,12,23,4,0,0,13,8,15,1,0,2,1,0,0,11,0,0,0,0
2020-12-14,639.8300170898438,20.83001708984375,633.25,-10.030029296875,0,1,1600,47,4,8,14,2,8,0,5,3,7,0,4,3,3,1,0,0,2,0,1,2,1,1,1,1,1,6,10,9,0,0,16,6,13,1,3,2,0,0,0,6,0,0,0,0
